start,open,high,low,close,vwp,volume,trades
1550022240000,3635.88,3639.86,3628.93,3637.92,3634.7633838182583,758.2194060000003,4938
1550025840000,3638.23,3642.88,3631.49,3635.88,3637.59749718149,1157.944365,6220
1550029440000,3635.45,3643,3633.39,3640.11,3638.0414142257077,771.5450810000002,4972
1550033040000,3639.87,3643.12,3631.66,3641.03,3638.5491150028065,920.153697,6398
1550036640000,3641.04,3670,3636.2,3649.13,3648.520153403784,2265.4035949999993,10620
1550040240000,3649.69,3650.49,3625.76,3632.59,3636.897463670393,1528.1393749999997,8274
1550043840000,3632.38,3638.2,3616.33,3624.06,3629.321005419181,1580.062626,7947
1550047440000,3624.06,3628.12,3614,3622.7,3620.0426969760542,1507.8152499999999,9970
1550051040000,3622.72,3628.84,3613.31,3621.81,3621.371181695685,1013.7608720000003,6183
1550054640000,3621.97,3625,3601.68,3615.01,3614.263081033433,1346.622525,7985
1550058240000,3615.02,3620,3605.44,3619.52,3614.788167674585,1452.145922,8125
1550061840000,3619.22,3626.15,3615.17,3619,3621.703599495863,875.4674460000001,6250
1550065440000,3618.73,3619,3607,3612.02,3613.4955755294627,981.0340949999999,6619
1550069040000,3612,3613.97,3591.75,3599.03,3602.9799305685524,1552.029453,9827
1550072640000,3599.01,3614.59,3593.22,3614.13,3603.8285352813546,1570.8845990000002,8079
1550076240000,3614.56,3615.23,3604.4,3609.92,3610.803232311949,941.9219730000002,6677
1550079840000,3609.92,3614.99,3606.3,3614.65,3610.0743510527627,788.545933,4942
1550083440000,3614.67,3615.5,3606.64,3610.68,3610.290340084262,977.9948580000001,5994
1550087040000,3610.68,3612.51,3599.15,3609.24,3606.7999014223797,801.2052789999999,5064
1550090640000,3609.8,3610,3594.81,3597.61,3602.094950558504,805.608114,5423
1550094240000,3597.64,3611.7,3597.5,3602.99,3604.4927514764017,508.640648,5018
1550097840000,3602.97,3613.76,3601.42,3610.45,3607.680763506326,452.497415,4235
1550101440000,3609.91,3626.4,3605.79,3618,3616.3279585529303,712.4328719999995,5333
1550105040000,3618.4,3625.93,3615,3619.01,3620.20489206939,1140.1670430000001,5962
1550108640000,3617.91,3622.41,3611,3613.67,3617.8424697481996,810.3861689999998,5501
1550112240000,3613.59,3615.38,3606.4,3609.9,3610.8657045090404,652.559483,5686
1550115840000,3609.57,3621.85,3608.06,3618.2,3616.2600534399735,1036.517713,5294
1550119440000,3618,3625,3610,3615.5,3618.271804638146,769.7483860000001,4507
1550123040000,3615.56,3619.88,3603.38,3615.66,3613.7940326528746,610.1357510000001,4411
1550126640000,3615.66,3617.7,3597.2,3604.41,3605.592007903319,882.3462379999999,9972
1550130240000,3604.71,3615,3601.15,3604.66,3607.4829178390705,1199.380434,8102
1550133840000,3604.68,3612.9,3600.46,3605,3606.316336642994,975.7027319999999,7254
1550137440000,3605,3607.44,3584.96,3596.74,3596.958443187064,1682.8355230000002,8460
1550141040000,3596.74,3604.08,3568.11,3592,3589.52266297271,2122.890287999999,9230
1550144640000,3592,3593.41,3577.67,3591.43,3585.490812013397,1526.891557,7577
1550148240000,3591.45,3595.79,3585.29,3591.16,3591.4657618250017,749.0052579999999,5065
1550151840000,3590.4,3593.99,3584.94,3589.28,3589.357510115318,1160.487235,6055
1550155440000,3589.94,3607.09,3588.37,3603.06,3598.6359228315087,849.573249,6310
1550159040000,3603.08,3614.24,3595,3602.73,3602.7729413600946,777.2945190000002,6266
1550162640000,3602.32,3610,3598.8,3609.3,3603.710017860908,609.4975350000001,5536
1550166240000,3609.32,3612,3605.1,3610,3608.9492270766086,704.8218310000001,5840
1550169840000,3610,3612.88,3602.86,3609.05,3608.611203801903,636.130237,5262
1550173440000,3608.79,3609.91,3594.26,3596.55,3600.373824937813,655.9966939999999,5131
1550177040000,3597.77,3600.44,3588,3597.24,3595.9082062146704,532.3901780000002,4894
1550180640000,3596.99,3606.16,3591.44,3592.5,3599.004160150341,585.3243010000001,4666
1550184240000,3592.99,3597.64,3588,3588.41,3592.46191548605,368.691936,4415
1550187840000,3588.41,3601.99,3587,3599.86,3596.286003782524,487.782765,4863
1550191440000,3599.85,3607.21,3595.79,3606.81,3600.2172403915292,572.344181,3917
1550195040000,3605.88,3607.21,3600.01,3605.05,3604.5265962791927,494.1291939999999,3890
1550198640000,3605.07,3613.87,3602.42,3608.52,3608.740208005231,659.122704,3816
1550202240000,3608.48,3629.62,3607.5,3616.77,3618.393941288435,1595.0026629999998,8045
1550205840000,3616.75,3622.13,3610.53,3615.03,3616.1430197822456,683.759113,4544
1550209440000,3615.07,3624.77,3608.98,3615.21,3615.6581290554436,782.890757,5427
1550213040000,3615.2,3618.04,3606.65,3614.23,3612.4842208373675,713.6860430000002,5626
1550216640000,3614.23,3622.77,3612.72,3616.23,3616.832175269367,712.5020250000002,5103
1550220240000,3616.23,3617.58,3605.81,3607.3,3610.21240983598,661.2118970000001,5560
1550223840000,3606.66,3615.19,3599.29,3610.61,3606.256025606475,971.910342,8613
1550227440000,3609.58,3629.6,3609.54,3610.88,3617.136280508931,1496.4495509999997,8936
1550231040000,3610.88,3620,3605.46,3619.19,3611.0622143000687,879.6355279999999,5924
1550234640000,3618.49,3623.72,3609.44,3616.17,3616.435673848457,863.218122,6581
1550238240000,3616.17,3653.23,3589.1,3603.52,3616.946552317242,2705.5373059999997,14564
1550241840000,3603.5,3603.65,3573.51,3583,3586.168311118353,2421.569029000001,11555
1550245440000,3582.91,3595.1,3573.45,3591.72,3586.303927910561,1100.4999309999996,6672
1550249040000,3590.74,3603.1,3588.52,3600.59,3595.8641799713287,590.4403419999999,4412
1550252640000,3600.77,3603,3596.29,3603,3600.2670501463076,443.5385300000001,4044
1550256240000,3602.6,3604.07,3594.64,3598.28,3600.114251225528,506.7037459999999,4358
1550259840000,3598.27,3605.11,3594.64,3599.05,3600.120605772773,420.22839400000015,3992
1550263440000,3599.03,3605.16,3597.35,3598.03,3601.8989480595733,347.1713699999999,3588
1550267040000,3598.05,3602.15,3595.25,3601,3599.0637488149805,309.7152850000001,3636
1550270640000,3601.08,3602.28,3590,3600.6,3597.751583344974,370.174794,4870
1550274240000,3600.98,3606.72,3597.91,3605.13,3602.412692268448,692.133302,5507
1550277840000,3605.46,3616.93,3601.37,3613.3,3611.914314040306,933.1644709999998,5908
1550281440000,3613.24,3613.91,3604.87,3607.74,3607.637722852414,603.6630159999999,4392
1550285040000,3607.74,3623.34,3607,3616.36,3616.096710573657,811.368945,5239
1550288640000,3616.07,3634.16,3612.37,3623.1,3623.8684274156176,1135.9102809999995,6512
1550292240000,3622.66,3624.18,3616.01,3617.6,3619.762146657798,631.769978,4207
1550295840000,3617.57,3620.01,3613.2,3615.18,3615.7980780187004,484.85974799999985,3803
1550299440000,3615.2,3620,3612,3617.19,3616.2600683609858,558.911193,4174
1550303040000,3617.4,3624.51,3616.13,3620.86,3620.7701100238673,498.288798,4238
1550306640000,3621.91,3625,3615.19,3619.08,3620.282015011636,682.5337800000001,4488
1550310240000,3618.35,3625.15,3610,3614.86,3619.1606137827143,1523.2978169999997,10606
1550313840000,3614.54,3627,3609.95,3625.49,3618.5517539960592,1383.709312,8252
1550317440000,3625.51,3638.98,3610.87,3620.01,3626.5030658205096,1643.2613660000002,10182
1550321040000,3620.02,3638.98,3614.28,3632.3,3627.22968408965,893.152564,6914
1550324640000,3632.54,3646.98,3625.93,3646,3634.5969990289814,1159.969226,7274
1550328240000,3646.98,3648.2,3628.26,3634.65,3636.8281902475464,1164.231835,7807
1550331840000,3634.65,3646,3621.96,3627.7,3631.215194757887,962.5362680000001,7200
1550335440000,3627.17,3633.99,3621.65,3623.94,3626.7359519176457,605.4808239999999,4664
1550339040000,3623.93,3631.37,3622.69,3626.17,3626.413851324115,488.1627419999999,4549
1550342640000,3626.4,3639.34,3622.99,3634.14,3634.094624148059,855.7724770000002,5480
1550346240000,3634.15,3636.29,3627.16,3635.35,3632.326771203808,380.97107299999993,4360
1550349840000,3634.4,3638.28,3626.86,3629.27,3631.742829715495,352.293597,4391
1550353440000,3629.88,3632.18,3626.17,3628.02,3628.5749855982594,271.30955599999993,3281
1550357040000,3628,3630.45,3615,3626.27,3622.578977382279,682.2740560000002,5735
1550360640000,3626.27,3629.37,3615,3628.38,3622.8699757547124,992.7149949999998,7792
1550364240000,3627.3,3630.22,3615.05,3627.59,3623.41012930048,997.445718,6397
1550367840000,3627.59,3634.22,3624.13,3633.9,3629.037553605198,624.3734079999998,4832
1550371440000,3633.9,3633.91,3627.63,3631.42,3630.826579484275,511.20996100000013,4192
1550375040000,3630.85,3632.98,3627.02,3632.98,3629.990763473845,576.6269940000002,4700
1550378640000,3632.98,3641.61,3631.61,3636.14,3637.21712733578,764.761379,5386
1550382240000,3636.17,3644.44,3632,3636.27,3638.1038032126453,604.180206,5225
1550385840000,3636.58,3641,3635.82,3639.28,3638.282904358659,617.297249,4512
1550389440000,3639.28,3647,3634.59,3637.01,3640.3352156632423,731.6616760000005,5377
1550393040000,3637.86,3643.48,3634.32,3640,3638.1422206548214,577.6563189999999,4538
1550396640000,3639.4,3700.11,3637.45,3657.68,3670.1414538036242,3393.4465519999994,15146
1550400240000,3657.66,3659.44,3615.89,3627.1,3632.8795335400096,2369.471237,11701
1550403840000,3627.1,3633.54,3615.3,3618.33,3622.2353707057696,1804.179083,10155
1550407440000,3619.36,3620.95,3604.4,3612.75,3613.764243203262,1546.3961909999998,8815
1550411040000,3612.71,3625.3,3607.15,3623.4,3616.2723812812055,1074.571178,7642
1550414640000,3623.41,3628.85,3621.57,3624.62,3625.7438023857253,604.7087160000002,5868
1550418240000,3624.6,3631.99,3616.5,3630,3623.343781397946,717.754092,7000
1550421840000,3630,3631.41,3620.32,3628.57,3625.773605648906,572.4908090000001,5228
1550425440000,3628,3628.83,3610.1,3610.97,3621.6786904756827,593.7824439999999,5143
1550429040000,3610.1,3625,3610,3619.97,3616.9124273595176,737.3849800000002,6312
1550432640000,3619.01,3626.3,3615,3621.07,3621.540354300892,559.853005,4924
1550436240000,3621.1,3647.1,3620.91,3641.94,3633.8976204761593,1282.5913769999997,7428
1550439840000,3641.94,3654.83,3623.27,3646.04,3640.2466756586864,1120.5884469999999,7537
1550443440000,3646.04,3675,3635,3674,3655.524266206246,1821.073779,10032
1550447040000,3674,3685,3655,3676,3669.4495136863047,3375.767842999999,13256
1550450640000,3676,3773.85,3670.85,3696.82,3704.4961301228846,6007.3203349999985,25023
1550454240000,3696.39,3717.62,3687.38,3712.63,3700.0056086065597,1633.121884,9513
